"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-01","2017","01","01","","-8.2","","-22.8","","-15.5","","33.5","","0.0","","","M","","M","0.0","","7","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-02","2017","01","02","","-18.0","","-24.9","","-21.5","","39.5","","0.0","","","M","","M","0.2","","7","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-03","2017","01","03","","-18.4","","-26.5","","-22.5","","40.5","","0.0","","","M","","M","0.0","","7","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-04","2017","01","04","","-7.9","","-25.8","","-16.9","","34.9","","0.0","","","M","","M","0.0","","7","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-05","2017","01","05","","-7.1","","-17.1","","-12.1","","30.1","","0.0","","","M","","M","0.0","","11","","30","","50",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-06","2017","01","06","","-13.4","","-27.5","","-20.5","","38.5","","0.0","","","M","","M","1.0","","10","","30","","65",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-07","2017","01","07","","-25.5","","-40.7","","-33.1","","51.1","","0.0","","","M","","M","0.7","","8","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-08","2017","01","08","","-19.9","","-37.2","","-28.6","","46.6","","0.0","","","M","","M","0.0","","8","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-09","2017","01","09","","-17.2","","-34.9","","-26.1","","44.1","","0.0","","","M","","M","0.0","","7","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-10","2017","01","10","","-17.4","","-30.5","","-24.0","","42.0","","0.0","","","M","","M","0.0","","7","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-11","2017","01","11","","-18.3","","-31.3","","-24.8","","42.8","","0.0","","","M","","M","0.0","","7","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-12","2017","01","12","","-19.4","","-33.2","","-26.3","","44.3","","0.0","","","M","","M","0.0","","7","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-13","2017","01","13","","-16.7","","-34.5","","-25.6","","43.6","","0.0","","","M","","M","","M","7","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-14","2017","01","14","","4.8","","-20.3","","-7.8","","25.8","","0.0","","","M","","M","1.6","","7","","12","","83",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-15","2017","01","15","","2.3","","-18.5","","-8.1","","26.1","","0.0","","","M","","M","2.9","","6","","12","","56",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-16","2017","01","16","","-15.3","","-19.4","","-17.4","","35.4","","0.0","","","M","","M","0.0","","7","","29","","33",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-17","2017","01","17","","0.7","","-29.4","","-14.4","","32.4","","0.0","","","M","","M","0.0","","7","","30","","48",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-18","2017","01","18","","-24.4","","-31.1","","-27.8","","45.8","","0.0","","","M","","M","0.0","","7","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-19","2017","01","19","","-22.1","","-29.5","","-25.8","","43.8","","0.0","","","M","","M","0.0","","7","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-20","2017","01","20","","-25.8","","-40.2","","-33.0","","51.0","","0.0","","","M","","M","0.0","","6","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-21","2017","01","21","","-21.5","","-39.1","","-30.3","","48.3","","0.0","","","M","","M","0.0","","6","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-22","2017","01","22","","-25.3","","-39.0","","-32.2","","50.2","","0.0","","","M","","M","0.0","","6","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-23","2017","01","23","","-21.3","","-33.3","","-27.3","","45.3","","0.0","","","M","","M","0.0","","6","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-24","2017","01","24","","-2.5","","-28.9","","-15.7","","33.7","","0.0","","","M","","M","0.2","","6","","9","","41",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-25","2017","01","25","","2.4","","-3.5","","-0.6","","18.6","","0.0","","","M","","M","3.0","","7","","12","","76",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-26","2017","01","26","","0.7","","-3.2","","-1.3","","19.3","","0.0","","","M","","M","0.0","","6","","13","","69",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-27","2017","01","27","","0.9","","-3.4","","-1.3","","19.3","","0.0","","","M","","M","0.5","","6","","13","","65",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-28","2017","01","28","","-0.7","","-12.2","","-6.5","","24.5","","0.0","","","M","","M","0.0","","6","","12","","54",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-29","2017","01","29","","-7.0","","-20.7","","-13.9","","31.9","","0.0","","","M","","M","1.8","","6","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-30","2017","01","30","","-16.0","","-30.9","","-23.5","","41.5","","0.0","","","M","","M","0.0","","6","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-01-31","2017","01","31","","-13.1","","-31.6","","-22.4","","40.4","","0.0","","","M","","M","0.0","","6","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-02-01","2017","02","01","","-13.2","","-26.3","","-19.8","","37.8","","0.0","","","M","","M","0.0","","5","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-02-02","2017","02","02","","-11.1","","-28.4","","-19.8","","37.8","","0.0","","","M","","M","0.2","","6","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-02-03","2017","02","03","","-6.4","","-15.6","","-11.0","","29.0","","0.0","","","M","","M","","M","6","","29","","35",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-02-04","2017","02","04","","-6.7","","-25.9","","-16.3","","34.3","","0.0","","","M","","M","0.0","","7","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-02-05","2017","02","05","","-9.5","","-25.9","","-17.7","","35.7","","0.0","","","M","","M","0.0","","7","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-02-06","2017","02","06","","-13.5","","-30.4","","-22.0","","40.0","","0.0","","","M","","M","0.0","","6","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-02-07","2017","02","07","","-16.1","","-33.8","","-25.0","","43.0","","0.0","","","M","","M","0.0","","7","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2017-02-08","2017","02","08","","-17.9","","-35.2","","-26.6","","44.6","","0.0","","","M","","M","0.0","","7","","","","<31",""
