"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2022-01-01","2022","01","01","","-15.2","","-27.3","","-21.3","","39.3","","0.0","","","","","","2.8","","51","","28","","43",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2022-01-02","2022","01","02","","-27.3","","-31.5","","-29.4","","47.4","","0.0","","","","","","0.4","","48","","28","","33",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2022-01-03","2022","01","03","","-30.1","","-41.4","","-35.7","","53.7","","0.0","","","","","","1.0","","47","","","","",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2022-01-04","2022","01","04","","-40.6","","-47.9","","-44.3","","62.3","","0.0","","","","","","0.4","","47","","","","",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2022-01-05","2022","01","05","","-40.7","","-49.2","","-45.0","","63.0","","0.0","","","","","","0.0","","46","","","","",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2022-01-06","2022","01","06","","-27.7","","-49.5","","-38.6","","56.6","","0.0","","","","","","0.0","","46","","","","",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2022-01-07","2022","01","07","","-25.1","","-40.6","","-32.9","","50.9","","0.0","","","","","","0.4","","47","","28","","33",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2022-01-08","2022","01","08","","","M","","M","","M","","M","","M","","","","","","M","46","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2022-01-09","2022","01","09","","","M","","M","","M","","M","","M","","","","","","M","46","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2022-01-10","2022","01","10","","-26.5","","-32.5","","-29.5","","47.5","","0.0","","","","","","0.0","","45","","","","",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2022-01-11","2022","01","11","","-18.6","","-26.5","","-22.6","","40.6","","0.0","","","","","","0.0","","45","","","","",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2022-01-12","2022","01","12","","-17.8","","-28.5","","-23.1","","41.1","","0.0","","","","","","0.0","","44","","","","",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2022-01-13","2022","01","13","","0.1","","-27.2","","-13.5","","31.5","","0.0","","","","","","0.0","","43","","11","","71",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2022-01-14","2022","01","14","","1.7","","-8.5","","-3.4","","21.4","","0.0","","","","","","0.0","","36","","13","","69",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2022-01-15","2022","01","15","","-7.0","","-18.6","","-12.8","","30.8","","0.0","","","","","","0.0","","36","","","","",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2022-01-16","2022","01","16","","-8.8","","-20.1","","-14.5","","32.5","","0.0","","","","","","4.3","","35","","28","","39",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2022-01-17","2022","01","17","","-10.1","","-31.9","","-21.0","","39.0","","0.0","","","","","","0.9","","42","","","","",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2022-01-18","2022","01","18","","-15.1","","-32.3","","-23.7","","41.7","","0.0","","","","","","0.0","","41","","","","",""
