"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2016-01-01","2016","01","01","","2.8","","-11.9","","-4.6","","22.6","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2016-01-02","2016","01","02","","3.3","","-2.8","","0.3","","17.7","","0.0","","","M","","M","0.0","","0","T","13","","39",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2016-01-03","2016","01","03","","-0.6","","-21.2","","-10.9","","28.9","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2016-01-04","2016","01","04","","-8.0","","-21.9","","-15.0","","33.0","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2016-01-05","2016","01","05","","-15.1","","-26.0","","-20.6","","38.6","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2016-01-06","2016","01","06","","-17.4","","-27.8","","-22.6","","40.6","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2016-01-07","2016","01","07","","-14.9","","-27.7","","-21.3","","39.3","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2016-01-08","2016","01","08","","-11.5","","-26.1","","-18.8","","36.8","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2016-01-09","2016","01","09","","-13.3","","-24.6","","-19.0","","37.0","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2016-01-10","2016","01","10","","-13.8","","-21.7","","-17.8","","35.8","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2016-01-11","2016","01","11","","-10.5","","-14.6","","-12.6","","30.6","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2016-01-12","2016","01","12","","-8.0","","-20.9","","-14.5","","32.5","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2016-01-13","2016","01","13","","-10.3","","-21.5","","-15.9","","33.9","","0.0","","","M","","M","0.0","","0","T","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2016-01-14","2016","01","14","","-8.4","","-13.1","","-10.8","","28.8","","0.0","","","M","","M","0.2","","0","T","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2016-01-15","2016","01","15","","-10.6","","-15.5","","-13.1","","31.1","","0.0","","","M","","M","0.7","","1","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2016-01-16","2016","01","16","","-10.7","","-12.4","","-11.6","","29.6","","0.0","","","M","","M","0.6","","1","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2016-01-17","2016","01","17","","-11.4","","-20.3","","-15.9","","33.9","","0.0","","","M","","M","0.0","","2","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2016-01-18","2016","01","18","","-12.3","","-20.0","","-16.2","","34.2","","0.0","","","M","","M","0.4","","3","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2016-01-19","2016","01","19","","-12.8","","-15.4","","-14.1","","32.1","","0.0","","","M","","M","0.2","","4","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2016-01-20","2016","01","20","","-14.7","","-20.8","","-17.8","","35.8","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2016-01-21","2016","01","21","","-15.9","","-20.9","","-18.4","","36.4","","0.0","","","M","","M","0.4","","2","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2016-01-22","2016","01","22","","-15.3","","-26.3","","-20.8","","38.8","","0.0","","","M","","M","0.4","","1","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2016-01-23","2016","01","23","","-1.5","","-25.4","","-13.5","","31.5","","0.0","","","M","","M","0.2","","4","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2016-01-24","2016","01","24","","-0.2","","-15.3","","-7.8","","25.8","","0.0","","","M","","M","0.0","","5","","","","<31",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2016-01-25","2016","01","25","","-1.1","","-14.9","","-8.0","","26.0","","0.0","","","M","","M","0.0","","5","","","","<31",""
