"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2021-01-01","2021","01","01","","-14.0","","-21.7","","-17.8","","35.8","","0.0","","","","","","0.0","","","","","","",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2021-01-02","2021","01","02","","-15.6","","-18.0","","-16.8","","34.8","","0.0","","","","","","0.0","","","","","","",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2021-01-03","2021","01","03","","-18.0","","-27.6","","-22.8","","40.8","","0.0","","","","","","0.2","","","","","","",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2021-01-04","2021","01","04","","-15.6","","-27.9","","-21.7","","39.7","","0.0","","","","","","0.0","","","","","","",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2021-01-05","2021","01","05","","-17.5","","-24.9","","-21.2","","39.2","","0.0","","","","","","0.7","","","","","","",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2021-01-06","2021","01","06","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2021-01-07","2021","01","07","","-1.0","","-5.3","","-3.1","","21.1","","0.0","","","","","","0.0","","3","","14","","66",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2021-01-08","2021","01","08","","0.5","","-7.3","","-3.4","","21.4","","0.0","","","","","","0.0","","2","","13","","66",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2021-01-09","2021","01","09","","-1.7","","-15.9","","-8.8","","26.8","","0.0","","","","","","0.0","","1","","10","","59",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2021-01-10","2021","01","10","","0.1","","-5.1","","-2.5","","20.5","","0.0","","","","","","0.0","","1","","12","","63",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2021-01-11","2021","01","11","","0.0","","-3.5","","-1.8","","19.8","","0.0","","","","","","0.0","","1","","11","","67",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2021-01-12","2021","01","12","","-2.3","","-10.9","","-6.6","","24.6","","0.0","","","","","","0.0","","0","","12","","43",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2021-01-13","2021","01","13","","-9.8","","-21.3","","-15.6","","33.6","","0.0","","","","","","0.2","","0","","","","",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2021-01-14","2021","01","14","","-3.8","","-23.0","","-13.4","","31.4","","0.0","","","","","","0.7","","0","","10","","36",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2021-01-15","2021","01","15","","-5.5","","-19.0","","-12.3","","30.3","","0.0","","","","","","0.2","","2","","29","","32",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2021-01-16","2021","01","16","","-0.6","","-18.5","","-9.5","","27.5","","0.0","","","","","","0.0","","2","","12","","58",""
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2021-01-17","2021","01","17","","2.1","","-14.3","","-6.1","","24.1","","0.0","","","","","","0.0","","3","","13","","49",""
