"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-01","2014","01","01","","-6.8","","-20.3","","-13.6","","31.6","","0.0","","","M","","M","","M","20","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-02","2014","01","02","","-16.8","","-23.5","","-20.2","","38.2","","0.0","","","M","","M","","M","19","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-03","2014","01","03","","-17.3","","-29.1","","-23.2","","41.2","","0.0","","","M","","M","","M","19","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-04","2014","01","04","","-6.4","","-27.6","","-17.0","","35.0","","0.0","","","M","","M","","M","19","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-05","2014","01","05","","2.4","","-14.7","","-6.2","","24.2","","0.0","","","M","","M","","M","17","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-06","2014","01","06","","-1.4","","-18.2","","-9.8","","27.8","","0.0","","","M","","M","","M","14","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-07","2014","01","07","","-8.3","","-23.1","","-15.7","","33.7","","0.0","","","M","","M","","M","14","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-08","2014","01","08","","-13.5","","-22.9","","-18.2","","36.2","","0.0","","","M","","M","","M","14","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-09","2014","01","09","","-10.9","","-23.6","","-17.3","","35.3","","0.0","","","M","","M","","M","14","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-10","2014","01","10","","-15.7","","-24.9","","-20.3","","38.3","","0.0","","","M","","M","","M","14","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-11","2014","01","11","","-14.7","","-26.0","","-20.4","","38.4","","0.0","","","M","","M","","M","14","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-12","2014","01","12","","-19.9","","-32.1","","-26.0","","44.0","","0.0","","","M","","M","","M","15","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-13","2014","01","13","","-6.0","","-34.2","","-20.1","","38.1","","0.0","","","M","","M","","M","15","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-14","2014","01","14","","2.7","","-12.8","","-5.1","","23.1","","0.0","","","M","","M","","M","14","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-15","2014","01","15","","4.2","","-11.2","","-3.5","","21.5","","0.0","","","M","","M","","M","13","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-16","2014","01","16","","7.6","","-6.9","","0.4","","17.6","","0.0","","","M","","M","","M","14","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-17","2014","01","17","","6.6","","-5.7","","0.5","","17.5","","0.0","","","M","","M","","M","11","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-18","2014","01","18","","5.0","","-9.5","","-2.3","","20.3","","0.0","","","M","","M","","M","8","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-19","2014","01","19","","-0.1","","-15.1","","-7.6","","25.6","","0.0","","","M","","M","","M","6","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-20","2014","01","20","","-4.9","","-20.0","","-12.5","","30.5","","0.0","","","M","","M","","M","7","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-21","2014","01","21","","4.3","","-6.4","","-1.1","","19.1","","0.0","","","M","","M","","M","7","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-22","2014","01","22","","5.9","","1.7","","3.8","","14.2","","0.0","","","M","","M","","M","7","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-23","2014","01","23","","8.3","","3.3","","5.8","","12.2","","0.0","","","M","","M","","M","1","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-24","2014","01","24","","16.5","","-2.5","","7.0","","11.0","","0.0","","","M","","M","","M","1","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-25","2014","01","25","","2.5","","-8.3","","-2.9","","20.9","","0.0","","","M","","M","","M","1","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-26","2014","01","26","","3.1","","-10.2","","-3.6","","21.6","","0.0","","","M","","M","","M","1","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-27","2014","01","27","","-2.2","","-13.5","","-7.9","","25.9","","0.0","","","M","","M","","M","1","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-28","2014","01","28","","-5.7","","-15.1","","-10.4","","28.4","","0.0","","","M","","M","","M","1","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-29","2014","01","29","","-1.8","","-8.7","","-5.3","","23.3","","0.0","","","M","","M","","M","1","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-30","2014","01","30","","-5.3","","-16.5","","-10.9","","28.9","","0.0","","","M","","M","","M","1","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-01-31","2014","01","31","","-4.6","","-16.4","","-10.5","","28.5","","0.0","","","M","","M","","M","1","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-02-01","2014","02","01","","-5.2","","-13.8","","-9.5","","27.5","","0.0","","","M","","M","","M","1","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-02-02","2014","02","02","","-5.8","","-18.9","","-12.4","","30.4","","0.0","","","M","","M","","M","1","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-02-03","2014","02","03","","-10.1","","-22.3","","-16.2","","34.2","","0.0","","","M","","M","","M","1","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-02-04","2014","02","04","","-13.5","","-26.6","","-20.1","","38.1","","0.0","","","M","","M","","M","1","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-02-05","2014","02","05","","-11.5","","-26.9","","-19.2","","37.2","","0.0","","","M","","M","","M","1","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-02-06","2014","02","06","","-11.8","","-26.9","","-19.4","","37.4","","0.0","","","M","","M","","M","1","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-02-07","2014","02","07","","-11.2","","-19.8","","-15.5","","33.5","","0.0","","","M","","M","","M","4","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-02-08","2014","02","08","","-15.5","","-23.6","","-19.6","","37.6","","0.0","","","M","","M","","M","4","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-02-09","2014","02","09","","-18.1","","-29.7","","-23.9","","41.9","","0.0","","","M","","M","","M","4","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-02-10","2014","02","10","","-22.0","","-37.9","","-30.0","","48.0","","0.0","","","M","","M","","M","4","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-02-11","2014","02","11","","-22.9","","-40.4","","-31.7","","49.7","","0.0","","","M","","M","","M","4","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-02-12","2014","02","12","","-27.1","","-41.3","","-34.2","","52.2","","0.0","","","M","","M","","M","4","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-02-13","2014","02","13","","-21.5","","-33.0","","-27.3","","45.3","","0.0","","","M","","M","","M","4","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-02-14","2014","02","14","","-21.4","","-36.2","","-28.8","","46.8","","0.0","","","M","","M","","M","5","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-02-15","2014","02","15","","0.3","","-23.0","","-11.4","","29.4","","0.0","","","M","","M","","M","5","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-02-16","2014","02","16","","-0.8","","-17.7","","-9.3","","27.3","","0.0","","","M","","M","","M","4","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-02-17","2014","02","17","","-6.6","","-21.9","","-14.3","","32.3","","0.0","","","M","","M","","M","4","","","M","","M"
"-139.02","61.37","BURWASH AIRPORT AUTO","2100184","2014-02-18","2014","02","18","","-10.3","","-30.6","","-20.5","","38.5","","0.0","","","M","","M","","M","4","","","M","","M"
