"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"dcat",1,473.47416647587,473.47416647587,208.291933939373,4.56044499599498e-43
"scat",1,134.801259524977,134.801259524977,59.3021056521609,3.21545753912208e-14
"Residuals",1010,2295.85898549398,2.27312770840988,NA,NA
