"","Modnames","K","AICc","Delta_AICc","AICcWt","Res.LL","R2m","R2c"
"1","Density",9,4561.764,0,0.947,-2271.814,0.11,0.57
"2","Per Capita",9,4567.561,5.796,0.052,-2274.713,0.12,0.57
"3","Biomass",9,4577.903,16.139,0,-2279.884,0.13,0.64
"4","Quality",9,4579.882,18.118,0,-2280.873,0.13,0.66
"5","Base",7,4648.673,86.909,0,-2317.294,0.08,0.56
"6","Null",3,4707.811,146.047,0,-2350.897,0,0.51
