"","Modnames","K","AICc","Delta_AICc","AICcWt","LL","R2"
"1","Food*Twigs",5,39104.9,0,1,-19547.447,0.06
"2","Food*Snow",5,39292.269,187.37,0,-19641.131,0.04
"3","Food*Hares",5,39452.089,347.189,0,-19721.041,0.05
"4","Food",3,39632.397,527.497,0,-19813.197,0.03
"5","Null",2,39953.213,848.313,0,-19974.606,0
