Eartag,Food
22113,1
22781,1
24257,1
24330,1
24469,1
24531,1
24658,1
24957,1
24975,1
24985,1
25073,1
25153,1
22109,1
22724,1
22837,1
22847,1
23717,1
23830,1
24270,1
24271,1
24405,1
24498,1
24521,1
24628,1
24653,1
24661,1
24688,1
24968,1
24187,1
24194,1
24308,1
24404,1
24583,1
25103,1
