Sample,ID,Beaker,Beaker_mass,DM_sample_mass,Post_Dry_wbeaker,DM,CP_AI,CP_F
KW 28-02-23 D,79,128,28.4994,0.8014,29.2553,0.943224357,8.8017,9.331502024
LL 29-01-23 A,80,8,14.3499,0.2429,14.726,1.548373816,14.687,9.485435522
LL 29-01-23 D,81,153,28.7338,1.3483,29.9939,0.934584291,9.2229,9.868451766
SU 17-01-23 C,82,141,29.5631,1.0853,30.5919,0.947940662,10.046,10.59770976
BT 29-01-23 E,83,152,30.3288,1.1663,31.4246,0.939552431,11.672,12.4229363
LL 29-01-23 J,84,23,14.5332,0.3131,14.8294,0.946023635,8.0922,8.553908913
BT 24-01-23 E,85,105,31.6483,0.851,32.4439,0.934900118,9.5633,10.22922109
KW 29-01-23 C,86,116,28.4991,1.0412,29.4733,0.935651172,9.9605,10.6455272
KW 05-02-23 B,87,5,14.3576,0.153,14.5023,0.945751634,10.198,10.78295784
LL 29-01-23 L,88,4,14.3888,0.1288,14.51,0.940993789,11.684,12.41666007
LL 29-01-23 C,89,15,14.3782,0.3407,14.6987,0.940710302,8.056,8.563741654
LL 05-02-23 I,90,7,14.4527,0.3377,14.7702,0.940183595,8.3492,8.880393197
AG 28-01-23 C,91,120,30.8271,0.8877,31.657,0.934887913,8.004,8.561454151
LL 18-01-23,92,157,29.0679,1.1564,30.1489,0.934797648,10.401,11.12647216
RL 19-01-23 A,93,166,28.8529,1.6198,30.4558,0.989566613,9.8844,9.988615085
